[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /api/v1/admin/auth        --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).Authenticate-fm (3 handlers)
[GIN-debug] POST   /api/v1/users             --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).AddUser-fm (4 handlers)
[GIN-debug] GET    /api/v1/users/list        --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).ListUsers-fm (4 handlers)
[GIN-debug] GET    /api/v1/users/detail/:id  --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).GetUserByID-fm (4 handlers)
[GIN-debug] GET    /api/v1/users/            --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).GetUserByParams-fm (4 handlers)
[GIN-debug] DELETE /api/v1/users/:id         --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).DeleteUserByID-fm (4 handlers)
[GIN-debug] PATCH  /api/v1/users             --> _/users/ajain324/go-microservices/src/user-microservice/controllers.(*User).UpdateUser-fm (4 handlers)
[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (3 handlers)
[GIN-debug] Listening and serving HTTP on :8808
[GIN] 2020/04/24 - 20:40:35 | 500 |      148.26µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:40:51 | 200 |     725.605µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:42:22 | 200 |     762.294µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:42:50 | 200 |     780.253µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:47:53 | 500 |     145.173µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:48:33 | 500 |     150.749µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:49:12 | 500 |      118.13µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:50:04 | 500 |     152.073µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:50:34 | 200 |     831.028µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:51:06 | 200 |     742.832µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:51:34 | 200 |     680.556µs |  136.55.173.132 | POST     "/api/v1/users"
[GIN] 2020/04/24 - 20:51:48 | 200 |      763.76µs |  136.55.173.132 | POST     "/api/v1/users"
